Frame,Timestamp (s)
0,0.0
1,0.033322222222222225
2,0.06665555555555557
3,0.09997777777777778
4,0.1333
5,0.16662222222222223
6,0.19995555555555555
7,0.23327777777777778
8,0.2666
9,0.29993333333333333
10,0.3332555555555556
11,0.3665777777777778
12,0.3999111111111111
13,0.43323333333333336
14,0.46655555555555556
15,0.4998777777777778
16,0.5332111111111112
17,0.5665333333333333
18,0.5998555555555556
19,0.6331888888888889
20,0.6665111111111112
21,0.6998333333333334
22,0.7331555555555556
23,0.7664888888888889
24,0.7998111111111111
25,0.8331333333333334
26,0.8664666666666667
27,0.899788888888889
28,0.9331111111111111
29,0.9664444444444444
30,0.9997666666666667
31,1.033088888888889
32,1.0664111111111112
33,1.0997444444444446
34,1.1330666666666667
35,1.166388888888889
36,1.1997222222222224
37,1.2330444444444446
38,1.2663666666666666
39,1.299688888888889
40,1.3330222222222223
41,1.3663444444444446
42,1.3996666666666668
43,1.433
44,1.4663222222222223
45,1.4996444444444446
46,1.5329777777777778
47,1.5663
48,1.5996222222222223
49,1.6329444444444445
50,1.666277777777778
51,1.6996
52,1.7329222222222223
53,1.7662555555555557
54,1.799577777777778
55,1.8329000000000002
56,1.8662333333333334
57,1.8995555555555557
58,1.932877777777778
59,1.9662000000000002
60,1.9995333333333334
61,2.032855555555556
62,2.066177777777778
63,2.099511111111111
64,2.1328333333333336
65,2.1661555555555556
66,2.199477777777778
67,2.2328111111111113
68,2.2661333333333333
69,2.299455555555556
70,2.332788888888889
71,2.366111111111111
72,2.3994333333333335
73,2.4327555555555556
74,2.466088888888889
75,2.4994111111111112
76,2.5327333333333333
77,2.566066666666667
78,2.599388888888889
79,2.632711111111111
80,2.6660444444444447
81,2.6993666666666667
82,2.732688888888889
83,2.766011111111111
84,2.7993444444444444
85,2.832666666666667
86,2.865988888888889
87,2.8993222222222226
88,2.9326444444444446
89,2.9659666666666666
90,2.9993000000000003
91,3.0326222222222223
92,3.065944444444445
93,3.099266666666667
94,3.1326
95,3.1659222222222225
96,3.1992444444444446
97,3.2325777777777778
98,3.2659000000000002
99,3.2992222222222223
100,3.332555555555556
101,3.3658777777777784
102,3.3992
103,3.4325222222222225
104,3.4658555555555557
105,3.499177777777778
106,3.5325
107,3.5658333333333334
108,3.599155555555556
